p,ostatnia_cyfra_2^p_minus_1,najmniejszy_dzielnik_wlasciwy,pierwsze_przekroczenie_potegi_dwojki
7429,1,131071,False
7439,7,730753,False
7441,1,127,False
7453,1,233,False
7463,7,131071,False
7471,7,22000409,False
7483,7,127,False
7493,1,170141183460469231731687303715884105727,False
7501,1,8191,False
7511,7,127,False
7519,7,2298041,False
7531,7,131071,False
7543,7,6353,False
7553,1,127,False
7567,7,127,False
7571,7,65993,False
7597,1,48544121,False
7609,1,127,False
7613,1,178481,False
7619,7,524287,False
7627,7,233,False
7631,7,8191,False
7633,1,131071,False
7637,1,127,False
7651,7,127,False
7657,1,8191,False
7661,1,4513,False
7679,7,127,False
7693,1,127,False
7697,1,1433,False
7709,1,8191,False
7721,1,127,False
7739,7,48544121,False
7747,7,2305843009213693951,False
7751,7,178481,False
7763,7,127,False
7769,1,131071,False
7771,7,524287,False
7781,1,54217,False
7783,7,43441,False
7787,7,8191,False
7801,1,233,False
7807,7,15193,False
7811,7,2298041,False
7813,1,8191,False
7819,7,127,False
7837,1,131071,False
7847,7,127,False
7849,1,4513,False
7859,7,233,False
7861,1,127,False
7871,7,11113,False
7889,1,127,False
7891,7,8191,False
7897,1,6361,False
7903,7,127,False
7921,1,618970019642690137449562111,False
7939,7,131071,False
7943,7,4513,False
7957,1,2298041,False
7961,1,524287,False
7967,7,2147483647,False
7969,1,8191,False
7973,1,127,False
7981,1,178481,False
7987,7,127,False
7991,7,2305843009213693951,False
7999,7,524287,False
8003,7,6361,False
8021,1,8191,False
8023,7,65993,False
8027,7,178481,False
8029,1,127,False
8033,1,233,False
8047,7,8191,False
8057,1,127,False
8071,7,127,False
8099,7,127,False
8113,1,127,False
8119,7,178481,False
8131,7,4513,False
8141,1,127,False
8143,7,131071,False
8149,1,233,False
8153,1,2147483647,False
8177,1,8191,False
8183,7,127,False
8189,1,3449,False
8197,1,127,False
8203,7,8191,False
8207,7,233,False
8227,7,524287,False
8249,1,65993,False
8251,7,1466449,False
8257,1,178481,False
8267,7,127,False
8279,7,131071,False
8281,1,127,False
8303,7,178481,False
8309,1,127,False
8321,1,6361,False
8323,7,127,False
8333,1,8191,False
8339,7,13822297,False
8341,1,524287,False
8347,7,131071,False
8351,7,127,False
8357,1,2305843009213693951,False
8359,7,8191,False
8381,1,233,False
8401,1,2147483647,False
8407,7,127,False
8411,7,8191,False
8413,1,1433,False
8417,1,524287,False
8441,1,178481,False
8449,1,127,False
8453,1,162259276829213363391578010288127,False
8473,1,1504073,False
8477,1,127,False
8479,7,2305843009213693951,False
8483,7,131071,False
8489,1,8191,False
8491,7,127,False
8497,1,233,False
8507,7,4513,False
8509,1,170141183460469231731687303715884105727,False
8519,7,127,False
8531,7,524287,False
8533,1,127,False
8551,7,131071,False
8561,1,127,False
8567,7,8191,False
8579,7,178481,False
8587,7,1121297,False
8593,1,8191,False
8603,7,127,False
8617,1,127,False
8621,1,622577,False
8633,1,618970019642690137449562111,False
8639,7,6361,False
8651,7,15193,False
8653,1,131071,False
8659,7,127,False
8671,7,233,False
8683,7,524287,False
8687,7,127,False
8711,7,80929,False
8717,1,178481,False
8729,1,127,False
8743,7,127,False
8749,1,8191,False
8759,7,524287,False
8771,7,127,False
8773,1,2147483647,False
8797,1,11113,False
8801,1,8191,False
8809,1,178481,False
8813,1,127,False
8827,7,127,False
8843,7,1913,False
8851,7,6361,False
8857,1,131071,False
8869,1,127,False
8873,1,524287,False
8879,7,8191,False
8881,1,162259276829213363391578010288127,False
8891,7,131071,False
8897,1,127,False
8903,7,233,False
8909,1,18121,False
8911,7,127,False
8917,1,22000409,False
8927,7,65993,False
8939,7,127,False
8947,7,178481,False
8953,1,127,False
8957,1,6361,False
8959,7,131071,False
8977,1,4513,False
8981,1,127,False
8983,7,8191,False
8989,1,618970019642690137449562111,False
8993,1,131071,False
9017,1,48544121,False
9019,7,233,False
9023,7,127,False
9037,1,127,False
9061,1,8191,False
9071,7,4513,False
9073,1,15193,False
9077,1,233,False
9079,7,127,False
9083,7,2147483647,False
9089,1,2305843009213693951,False
9101,1,524287,False
9107,7,127,False
9113,1,8191,False
9121,1,127,False
9131,7,6353,False
9139,7,8191,False
9143,7,1466449,False
9149,1,127,False
9167,7,618970019642690137449562111,False
9169,1,6361,False
9191,7,127,False
9193,1,233,False
9197,1,131071,False
9211,7,18121,False
9217,1,8191,False
9223,7,178481,False
9233,1,127,False
9247,7,127,False
9253,1,524287,False
9259,7,4513,False
9269,1,8191,False
9271,7,2298041,False
9287,7,54217,False
9289,1,127,False
9299,7,131071,False
9301,1,48544121,False
9329,1,524287,False
9331,7,127,False
9347,7,8191,False
9353,1,4513,False
9359,7,127,False
9367,7,233,False
9373,1,127,False
9379,7,65993,False
9389,1,1504073,False
9401,1,127,False
9407,7,178481,False
9443,7,127,False
9451,7,8191,False
9457,1,127,False
9469,1,131071,False
9481,1,524287,False
9487,7,1433,False
9499,7,127,False
9503,7,8191,False
9517,1,2147483647,False
9523,7,618970019642690137449562111,False
9527,7,127,False
9529,1,8191,False
9541,1,127,False
9553,1,622577,False
9557,1,524287,False
9563,7,2298041,False
9569,1,127,False
9571,7,131071,False
9577,1,2305843009213693951,False
9583,7,127,False
9589,1,1466449,False
9593,1,6361,False
9599,7,233,False
9607,7,8191,False
9611,7,127,False
9617,1,704161,False
9637,1,178481,False
9641,1,2147483647,False
9653,1,127,False
9659,7,8191,False
9667,7,127,False
9671,7,524287,False
9673,1,131071,False
9683,7,178481,False
9701,1,618970019642690137449562111,False
9703,7,10960009,False
9707,7,27409,False
9709,1,127,False
9727,7,48544121,False
9737,1,127,False
9751,7,127,False
9763,7,8191,False
9773,1,233,False
9793,1,127,False
9799,7,1913,False
9809,1,131071,False
9821,1,127,False
9827,7,2147483647,False
9841,1,8191,False
9847,7,1504073,False
9863,7,127,False
9869,1,48544121,False
9877,1,127,False
9881,1,22000409,False
9893,1,6089,False
9899,7,524287,False
9913,1,3449,False
9917,1,4513,False
9919,7,127,False
9937,1,524287,False
9943,7,704161,False
9947,7,127,False
9953,1,13822297,False
9959,7,178481,False
9961,1,127,False
9971,7,8191,False
9979,7,131071,False
9989,1,127,False
9997,1,8191,False
10001,1,2298041,False
10003,7,127,False
10013,1,131071,False
10019,7,622577,False
10031,7,127,False
10033,1,170141183460469231731687303715884105727,False
10049,1,8191,False
10051,7,178481,False
10057,1,65993,False
10063,7,233,False
10073,1,127,False
10081,1,104369,False
10097,1,178481,False
10117,1,18121,False
10121,1,233,False
10123,7,6361,False
10127,7,8191,False
10129,1,127,False
10147,7,2298041,False
10157,1,127,False
10171,7,127,False
10183,7,131071,False
10187,7,2305843009213693951,False
10189,1,178481,False
10199,7,127,False
10207,7,730753,False
10213,1,127,False
10217,1,131071,False
10229,1,6361,False
10231,7,8191,False
10237,1,233,False
10249,1,1121297,False
10261,1,2147483647,False
10277,1,1913,False
10279,7,524287,False
10283,7,127,False
10291,7,54217,False
10297,1,127,False
10309,1,8191,False
10319,7,131071,False
10327,7,178481,False
10339,7,127,False
10361,1,8191,False
10363,7,22000409,False
10367,7,127,False
10379,7,162259276829213363391578010288127,False
10381,1,127,False
10387,7,4513,False
10393,1,524287,False
10397,1,80929,False
10409,1,127,False
10411,7,233,False
10421,1,131071,False
10423,7,127,False
10441,1,6361,False
10447,7,2806537,False
10451,7,127,False
10469,1,233,False
10481,1,4513,False
10489,1,59233,False
10493,1,127,False
10507,7,127,False
10511,7,178481,False
10517,1,8191,False
10523,7,131071,False
10541,1,170141183460469231731687303715884105727,False
10543,7,8191,False
10547,7,6361,False
10553,1,730753,False
10561,1,1433,False
10577,1,127,False
10579,7,48544121,False
10583,7,524287,False
10591,7,127,False
10603,7,178481,False
10619,7,127,False
10621,1,8191,False
10633,1,127,False
10643,7,233,False
10649,1,11113,False
10661,1,127,False
10669,1,4513,False
10673,1,8191,False
10679,7,43441,False
10693,1,131071,False
10697,1,524287,False
10699,7,8191,False
10717,1,127,False
10721,1,18121,False
10727,7,131071,False
10741,1,178481,False
10751,7,8191,False
10757,1,2147483647,False
10759,7,127,False
10763,7,4513,False
10777,1,8191,False
10787,7,127,False
10793,1,54217,False
10801,1,127,False
10807,7,162259276829213363391578010288127,False
10811,7,524287,False
10817,1,233,False
10819,7,2147483647,False
10829,1,127,False
10843,7,127,False
10849,1,27409,False
10871,7,127,False
10877,1,2298041,False
10897,1,35897,False
10907,7,8191,False
10913,1,127,False
10919,7,1433,False
